time,symbol,side,entry_price,mark_price,position_amt,unrealized_pnl,roe_pct
2026-03-26 22:00:26,HUMAUSDT,多,0.019136,0.016307,1567.0000,-4.4330,-44.35
2026-03-26 22:00:26,MANTRAUSDT,空,0.013050,0.012398,2298.0000,1.4981,14.99
2026-03-26 22:00:26,ONDOUSDT,空,0.269600,0.261104,111.2000,0.9448,9.45
2026-03-26 22:00:26,PIPPINUSDT,多,0.049181,0.057340,609.0000,4.9693,49.77
2026-03-26 22:00:26,TRADOORUSDT,空,2.240000,2.450943,13.0000,-2.7423,-28.25
2026-03-26 22:00:26,ZECUSDT,多,232.080000,224.024947,0.1290,-1.0391,-10.41
2026-03-26 22:00:26,AXLUSDT,多,0.050100,0.048239,598.8000,-1.1145,-11.15
2026-03-26 22:00:26,币安人生USDT,多,0.048550,0.047010,617.0000,-0.9502,-9.52
2026-03-26 22:00:26,DOTUSDT,多,1.357000,1.330885,22.1000,-0.5771,-5.77
2026-03-26 22:00:26,ZROUSDT,多,2.144100,2.074500,13.9000,-0.9674,-9.74
2026-03-26 22:00:26,MUSDT,空,2.452700,1.981995,12.0000,5.6485,57.57
2026-03-26 22:00:26,ZKCUSDT,空,0.079470,0.073012,377.0000,2.4347,24.38
2026-03-26 22:00:26,RESOLVUSDT,多,0.044090,0.039530,680.0000,-3.1008,-31.03
2026-03-26 22:00:26,BEATUSDT,空,0.663100,0.599600,45.0000,2.8575,28.73
2026-03-26 22:00:26,JCTUSDT,多,0.002696,0.003079,11128.0000,4.2659,42.66
2026-03-26 22:00:26,BSBUSDT,空,0.166580,0.159190,180.0000,1.3302,13.31
2026-03-26 22:00:26,KASUSDT,空,0.038630,0.036770,776.0000,1.4434,14.44
2026-03-26 22:00:26,ARIAUSDT,多,0.278490,0.284935,107.0000,0.6896,6.94
2026-03-26 22:00:26,CFGUSDT,空,0.141300,0.140400,212.0000,0.1908,1.91
2026-03-26 22:00:26,SAHARAUSDT,空,0.027840,0.026340,1077.0000,1.6155,16.16
2026-03-26 22:00:26,ATHUSDT,空,0.007948,0.007566,3774.0000,1.4415,14.42
2026-03-26 22:00:26,RENDERUSDT,空,1.868000,1.776000,16.0000,1.4720,14.78
2026-03-26 22:00:26,ENAUSDT,空,0.106400,0.098724,281.0000,2.1569,21.64
2026-03-26 22:00:26,ESPORTSUSDT,空,0.324310,0.362310,92.0000,-3.4960,-35.15
2026-03-26 22:00:26,GASUSDT,多,1.588000,1.550437,18.8000,-0.7062,-7.10
2026-03-26 22:00:26,BRUSDT,多,0.146630,0.174601,204.0000,5.7062,57.23
2026-03-26 22:00:26,SIRENUSDT,空,2.265370,1.937302,13.0000,4.2649,43.45
2026-03-26 22:00:26,PROVEUSDT,空,0.292200,0.267127,102.6000,2.5725,25.74
